danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.743,0.618,8,-7.227,1,0.0732,0.076,0.0,0.0731,0.285,129.034,audio_features,20lNo44eUUCnyNNInzwkv9,spotify:track:20lNo44eUUCnyNNInzwkv9,https://api.spotify.com/v1/tracks/20lNo44eUUCnyNNInzwkv9,https://api.spotify.com/v1/audio-analysis/20lNo44eUUCnyNNInzwkv9,287933,4
0.915,0.37,11,-8.696,0,0.0762,0.0395,0.0,0.171,0.736,130.033,audio_features,3FigWC4Kgj0YB1tc6WMwJL,spotify:track:3FigWC4Kgj0YB1tc6WMwJL,https://api.spotify.com/v1/tracks/3FigWC4Kgj0YB1tc6WMwJL,https://api.spotify.com/v1/audio-analysis/3FigWC4Kgj0YB1tc6WMwJL,163870,4
0.563,0.704,1,-4.76,1,0.107,0.275,0.0,0.114,0.372,120.005,audio_features,4Jgt0PEIv2b7hMHoCHPLbQ,spotify:track:4Jgt0PEIv2b7hMHoCHPLbQ,https://api.spotify.com/v1/tracks/4Jgt0PEIv2b7hMHoCHPLbQ,https://api.spotify.com/v1/audio-analysis/4Jgt0PEIv2b7hMHoCHPLbQ,294027,4
0.726,0.808,8,-5.054,1,0.0904,0.054,0.000146,0.243,0.673,100.031,audio_features,6Cm7r5U5igaAnwKOWjFhTq,spotify:track:6Cm7r5U5igaAnwKOWjFhTq,https://api.spotify.com/v1/tracks/6Cm7r5U5igaAnwKOWjFhTq,https://api.spotify.com/v1/audio-analysis/6Cm7r5U5igaAnwKOWjFhTq,168300,4
0.836,0.757,10,-5.441,0,0.124,0.0528,0.0308,0.0607,0.814,153.983,audio_features,3tCgn1QGWOZN5eE0XuVdrf,spotify:track:3tCgn1QGWOZN5eE0XuVdrf,https://api.spotify.com/v1/tracks/3tCgn1QGWOZN5eE0XuVdrf,https://api.spotify.com/v1/audio-analysis/3tCgn1QGWOZN5eE0XuVdrf,221853,4
0.591,0.363,11,-12.6,0,0.0417,0.0765,0.0,0.118,0.113,140.067,audio_features,3DvA319yj2me8BkuJMtfL3,spotify:track:3DvA319yj2me8BkuJMtfL3,https://api.spotify.com/v1/tracks/3DvA319yj2me8BkuJMtfL3,https://api.spotify.com/v1/audio-analysis/3DvA319yj2me8BkuJMtfL3,113404,4
0.517,0.509,3,-9.917,1,0.137,0.407,0.311,0.251,0.37,74.98,audio_features,7pFRhCj70NUNZG4xMDEQj8,spotify:track:7pFRhCj70NUNZG4xMDEQj8,https://api.spotify.com/v1/tracks/7pFRhCj70NUNZG4xMDEQj8,https://api.spotify.com/v1/audio-analysis/7pFRhCj70NUNZG4xMDEQj8,96343,4
0.691,0.505,4,-6.09,0,0.0308,0.147,0.0,0.11,0.192,89.985,audio_features,2MAizO4FEzoB7BzFCdshkE,spotify:track:2MAizO4FEzoB7BzFCdshkE,https://api.spotify.com/v1/tracks/2MAizO4FEzoB7BzFCdshkE,https://api.spotify.com/v1/audio-analysis/2MAizO4FEzoB7BzFCdshkE,172600,4
0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.382,136.028,audio_features,6xpDh0dXrkVp0Po1qrHUd8,spotify:track:6xpDh0dXrkVp0Po1qrHUd8,https://api.spotify.com/v1/tracks/6xpDh0dXrkVp0Po1qrHUd8,https://api.spotify.com/v1/audio-analysis/6xpDh0dXrkVp0Po1qrHUd8,249627,4
0.866,0.568,5,-12.495,1,0.0382,0.00368,0.616,0.234,0.892,127.996,audio_features,3cP5bYsuE6nWZ9Rby1Msds,spotify:track:3cP5bYsuE6nWZ9Rby1Msds,https://api.spotify.com/v1/tracks/3cP5bYsuE6nWZ9Rby1Msds,https://api.spotify.com/v1/audio-analysis/3cP5bYsuE6nWZ9Rby1Msds,258076,4
0.629,0.808,9,-4.125,1,0.0269,0.00898,9.06e-06,0.0751,0.773,110.001,audio_features,3un2KQUaQ2brEpd8dK93wI,spotify:track:3un2KQUaQ2brEpd8dK93wI,https://api.spotify.com/v1/tracks/3un2KQUaQ2brEpd8dK93wI,https://api.spotify.com/v1/audio-analysis/3un2KQUaQ2brEpd8dK93wI,179293,4
0.603,0.667,10,-8.716,0,0.367,0.0861,0.0,0.0745,0.655,141.561,audio_features,12Us8e6NFesdkXKf4StU1I,spotify:track:12Us8e6NFesdkXKf4StU1I,https://api.spotify.com/v1/tracks/12Us8e6NFesdkXKf4StU1I,https://api.spotify.com/v1/audio-analysis/12Us8e6NFesdkXKf4StU1I,186697,4
