title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Forget Me,Lewis Capaldi,3Xu1SbsuVDHrnzuNAZEXNB,0.716,0.454,4,-5.106,1,0.0318,0.751,0.0,0.143,0.486,101.953,audio_features,3Xu1SbsuVDHrnzuNAZEXNB,spotify:track:3Xu1SbsuVDHrnzuNAZEXNB,https://api.spotify.com/v1/tracks/3Xu1SbsuVDHrnzuNAZEXNB,https://api.spotify.com/v1/audio-analysis/3Xu1SbsuVDHrnzuNAZEXNB,207307,4
Growin' Up And Gettin' Old,Luke Combs,5n4kMW5dn7MHFhXQuJb9zG,0.478,0.516,5,-7.276,1,0.0267,0.403,0.0,0.0823,0.376,80.09,audio_features,5n4kMW5dn7MHFhXQuJb9zG,spotify:track:5n4kMW5dn7MHFhXQuJb9zG,https://api.spotify.com/v1/tracks/5n4kMW5dn7MHFhXQuJb9zG,https://api.spotify.com/v1/audio-analysis/5n4kMW5dn7MHFhXQuJb9zG,196008,4
Here With Me,d4vd,0wY9rA9fJkuESyYm9uzVK5,0.784,0.586,1,-3.417,1,0.187,0.00558,0.000286,0.106,0.656,132.169,audio_features,0wY9rA9fJkuESyYm9uzVK5,spotify:track:0wY9rA9fJkuESyYm9uzVK5,https://api.spotify.com/v1/tracks/0wY9rA9fJkuESyYm9uzVK5,https://api.spotify.com/v1/audio-analysis/0wY9rA9fJkuESyYm9uzVK5,171818,4
The Color Violet,Tory Lanez,2cK4RHjjvgs5vLrBdnZ022,0.81,0.366,0,-10.609,1,0.0841,0.0239,0.000186,0.0647,0.303,125.967,audio_features,2cK4RHjjvgs5vLrBdnZ022,spotify:track:2cK4RHjjvgs5vLrBdnZ022,https://api.spotify.com/v1/tracks/2cK4RHjjvgs5vLrBdnZ022,https://api.spotify.com/v1/audio-analysis/2cK4RHjjvgs5vLrBdnZ022,188514,4
Spin Bout U,Drake & 21 Savage,7fyB1cxZ0zj69MQwdKnpk0,0.539,0.516,8,-10.208,1,0.027,0.254,1.23e-06,0.142,0.466,137.819,audio_features,7fyB1cxZ0zj69MQwdKnpk0,spotify:track:7fyB1cxZ0zj69MQwdKnpk0,https://api.spotify.com/v1/tracks/7fyB1cxZ0zj69MQwdKnpk0,https://api.spotify.com/v1/audio-analysis/7fyB1cxZ0zj69MQwdKnpk0,222647,4
Blind,SZA,3ADKmQCxv7dn7KboDdveMF,0.644,0.609,1,-8.041,0,0.0956,0.132,3e-06,0.332,0.345,159.791,audio_features,3ADKmQCxv7dn7KboDdveMF,spotify:track:3ADKmQCxv7dn7KboDdveMF,https://api.spotify.com/v1/tracks/3ADKmQCxv7dn7KboDdveMF,https://api.spotify.com/v1/audio-analysis/3ADKmQCxv7dn7KboDdveMF,240943,4
Love You Better,Future,6RZj1kBuWGiE7tgOiZErWR,0.644,0.355,5,-9.292,1,0.287,0.47,0.000313,0.112,0.549,75.317,audio_features,6RZj1kBuWGiE7tgOiZErWR,spotify:track:6RZj1kBuWGiE7tgOiZErWR,https://api.spotify.com/v1/tracks/6RZj1kBuWGiE7tgOiZErWR,https://api.spotify.com/v1/audio-analysis/6RZj1kBuWGiE7tgOiZErWR,129480,4
La Bachata,Manuel Turizo,5QgwnXXptPRxrkglPpuraT,0.865,0.489,7,-9.508,0,0.0493,0.824,0.894,0.122,0.779,125.005,audio_features,5QgwnXXptPRxrkglPpuraT,spotify:track:5QgwnXXptPRxrkglPpuraT,https://api.spotify.com/v1/tracks/5QgwnXXptPRxrkglPpuraT,https://api.spotify.com/v1/audio-analysis/5QgwnXXptPRxrkglPpuraT,155946,4
I'm Not Here To Make Friends,Sam Smith,2lsqxC8ycVQreqAGiMDrtT,0.185,0.244,9,-11.461,0,0.033,0.925,1.78e-05,0.13,0.0636,183.599,audio_features,2lsqxC8ycVQreqAGiMDrtT,spotify:track:2lsqxC8ycVQreqAGiMDrtT,https://api.spotify.com/v1/tracks/2lsqxC8ycVQreqAGiMDrtT,https://api.spotify.com/v1/audio-analysis/2lsqxC8ycVQreqAGiMDrtT,211906,3
Nonsense,Sabrina Carpenter,7yogx3TwxGwSxO2QITsT2q,0.722,0.75,8,-4.051,1,0.0445,0.00768,0.0,0.128,0.57,139.019,audio_features,7yogx3TwxGwSxO2QITsT2q,spotify:track:7yogx3TwxGwSxO2QITsT2q,https://api.spotify.com/v1/tracks/7yogx3TwxGwSxO2QITsT2q,https://api.spotify.com/v1/audio-analysis/7yogx3TwxGwSxO2QITsT2q,153100,4
No Se Va,Grupo Frontera,1O0IFR3MYqgQbziKTCf0X4,0.641,0.517,0,-5.472,1,0.0673,0.528,0.0,0.136,0.642,127.902,audio_features,1O0IFR3MYqgQbziKTCf0X4,spotify:track:1O0IFR3MYqgQbziKTCf0X4,https://api.spotify.com/v1/tracks/1O0IFR3MYqgQbziKTCf0X4,https://api.spotify.com/v1/audio-analysis/1O0IFR3MYqgQbziKTCf0X4,175424,4
10:35,Tiesto Featuring Tate McRae,3CKbz7DsOPl94W9duLx9HK,0.747,0.786,1,-5.875,1,0.0363,0.0437,0.00104,0.149,0.719,125.008,audio_features,3CKbz7DsOPl94W9duLx9HK,spotify:track:3CKbz7DsOPl94W9duLx9HK,https://api.spotify.com/v1/tracks/3CKbz7DsOPl94W9duLx9HK,https://api.spotify.com/v1/audio-analysis/3CKbz7DsOPl94W9duLx9HK,174720,4
Snap,Rosa Linn,4JGFQyEJXDLtB3kOL3M1F3,0.631,0.842,0,-4.022,1,0.0674,0.0495,2.25e-05,0.284,0.332,112.896,audio_features,4JGFQyEJXDLtB3kOL3M1F3,spotify:track:4JGFQyEJXDLtB3kOL3M1F3,https://api.spotify.com/v1/tracks/4JGFQyEJXDLtB3kOL3M1F3,https://api.spotify.com/v1/audio-analysis/4JGFQyEJXDLtB3kOL3M1F3,148023,4
Shut Up My Moms Calling,Hotel Ugly,3EEr6l5PYelwkrvvKX7N0X,0.375,0.63,7,-5.131,1,0.0453,0.0552,0.0,0.107,0.349,115.728,audio_features,3EEr6l5PYelwkrvvKX7N0X,spotify:track:3EEr6l5PYelwkrvvKX7N0X,https://api.spotify.com/v1/tracks/3EEr6l5PYelwkrvvKX7N0X,https://api.spotify.com/v1/audio-analysis/3EEr6l5PYelwkrvvKX7N0X,202200,4
OMG,NewJeans,2DwUdMJ5uxv20EhAildreg,0.847,0.638,0,-3.764,1,0.0575,0.0596,0.0,0.0894,0.661,156.935,audio_features,2DwUdMJ5uxv20EhAildreg,spotify:track:2DwUdMJ5uxv20EhAildreg,https://api.spotify.com/v1/tracks/2DwUdMJ5uxv20EhAildreg,https://api.spotify.com/v1/audio-analysis/2DwUdMJ5uxv20EhAildreg,235562,4
Love Language,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",1ZxJvq28DUmAFZxt9lU7n6,0.699,0.58,11,-6.753,0,0.527,0.283,0.0,0.0926,0.706,83.759,audio_features,1ZxJvq28DUmAFZxt9lU7n6,spotify:track:1ZxJvq28DUmAFZxt9lU7n6,https://api.spotify.com/v1/tracks/1ZxJvq28DUmAFZxt9lU7n6,https://api.spotify.com/v1/audio-analysis/1ZxJvq28DUmAFZxt9lU7n6,209736,4
The Black Seminole.,Lil Yachty,6vDyzD9o8aYhR1963oJpkO,0.44,0.661,5,-7.118,1,0.124,0.418,0.00264,0.621,0.61,127.892,audio_features,6vDyzD9o8aYhR1963oJpkO,spotify:track:6vDyzD9o8aYhR1963oJpkO,https://api.spotify.com/v1/tracks/6vDyzD9o8aYhR1963oJpkO,https://api.spotify.com/v1/audio-analysis/6vDyzD9o8aYhR1963oJpkO,162209,4
You Didn't,Brett Young,7mqsZ1HaeI8Kf67rf1YJdh,0.657,0.275,10,-15.267,1,0.0299,0.222,0.293,0.116,0.2,73.99,audio_features,7mqsZ1HaeI8Kf67rf1YJdh,spotify:track:7mqsZ1HaeI8Kf67rf1YJdh,https://api.spotify.com/v1/tracks/7mqsZ1HaeI8Kf67rf1YJdh,https://api.spotify.com/v1/audio-analysis/7mqsZ1HaeI8Kf67rf1YJdh,222976,4
I Wish You Roses,Kali Uchis,6wJrDcWOIOn1MJh0FmCxhx,0.646,0.21,3,-14.846,1,0.0275,0.9,0.000165,0.109,0.594,93.066,audio_features,6wJrDcWOIOn1MJh0FmCxhx,spotify:track:6wJrDcWOIOn1MJh0FmCxhx,https://api.spotify.com/v1/tracks/6wJrDcWOIOn1MJh0FmCxhx,https://api.spotify.com/v1/audio-analysis/6wJrDcWOIOn1MJh0FmCxhx,230995,4
La Jumpa,Arcangel & Bad Bunny,6oKTVmuVSzQSLGvTFWLmf5,0.639,0.73,2,-5.927,0,0.0499,0.184,0.0,0.279,0.945,184.933,audio_features,6oKTVmuVSzQSLGvTFWLmf5,spotify:track:6oKTVmuVSzQSLGvTFWLmf5,https://api.spotify.com/v1/tracks/6oKTVmuVSzQSLGvTFWLmf5,https://api.spotify.com/v1/audio-analysis/6oKTVmuVSzQSLGvTFWLmf5,236400,3
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,02guftHiZ0nqZIcVAnf0xk,0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,audio_features,02guftHiZ0nqZIcVAnf0xk,spotify:track:02guftHiZ0nqZIcVAnf0xk,https://api.spotify.com/v1/tracks/02guftHiZ0nqZIcVAnf0xk,https://api.spotify.com/v1/audio-analysis/02guftHiZ0nqZIcVAnf0xk,199920,4
Do It Again,NLE Choppa & 2Rare,6aB3iF4BCPRWQsKZu5UjRM,0.803,0.633,11,-7.391,0,0.319,0.124,1.9e-06,0.172,0.66,160.143,audio_features,6aB3iF4BCPRWQsKZu5UjRM,spotify:track:6aB3iF4BCPRWQsKZu5UjRM,https://api.spotify.com/v1/tracks/6aB3iF4BCPRWQsKZu5UjRM,https://api.spotify.com/v1/audio-analysis/6aB3iF4BCPRWQsKZu5UjRM,213206,4
Fin de Semana,Junior H X Oscar Maydon,3AHBW7gsuWsUlstIzM689M,0.676,0.671,5,-4.202,0,0.0974,0.155,0.0,0.0533,0.834,137.149,audio_features,3AHBW7gsuWsUlstIzM689M,spotify:track:3AHBW7gsuWsUlstIzM689M,https://api.spotify.com/v1/tracks/3AHBW7gsuWsUlstIzM689M,https://api.spotify.com/v1/audio-analysis/3AHBW7gsuWsUlstIzM689M,148794,3
Circo Loco,Drake & 21 Savage,2YmaKBj9Bw7jPbopzPHPMF,0.443,0.689,11,-10.048,0,0.395,0.679,0.0,0.42,0.433,94.891,audio_features,2YmaKBj9Bw7jPbopzPHPMF,spotify:track:2YmaKBj9Bw7jPbopzPHPMF,https://api.spotify.com/v1/tracks/2YmaKBj9Bw7jPbopzPHPMF,https://api.spotify.com/v1/audio-analysis/2YmaKBj9Bw7jPbopzPHPMF,290909,3
That's What Tequila Does,Jason Aldean,343VsBkNa2Ag8r09jkJROE,0.658,0.822,4,-4.988,1,0.0354,0.187,0.000852,0.1,0.766,114.021,audio_features,343VsBkNa2Ag8r09jkJROE,spotify:track:343VsBkNa2Ag8r09jkJROE,https://api.spotify.com/v1/tracks/343VsBkNa2Ag8r09jkJROE,https://api.spotify.com/v1/audio-analysis/343VsBkNa2Ag8r09jkJROE,187173,4
Back End,Finesse2Tymes,6xnuV18EI3l4YQdpoZd5jY,0.88,0.746,10,-3.381,0,0.124,0.0129,0.0,0.105,0.315,130.045,audio_features,6xnuV18EI3l4YQdpoZd5jY,spotify:track:6xnuV18EI3l4YQdpoZd5jY,https://api.spotify.com/v1/tracks/6xnuV18EI3l4YQdpoZd5jY,https://api.spotify.com/v1/audio-analysis/6xnuV18EI3l4YQdpoZd5jY,165479,4
Ditto,NewJeans,65FftemJ1DbbZ45DUfHJXE,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,audio_features,65FftemJ1DbbZ45DUfHJXE,spotify:track:65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/tracks/65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/audio-analysis/65FftemJ1DbbZ45DUfHJXE,212253,4
Human,Cody Johnson,24Nt4OalWDICkEKVy81X6k,0.546,0.838,7,-3.51,1,0.0319,0.27,1.24e-05,0.0841,0.719,151.914,audio_features,24Nt4OalWDICkEKVy81X6k,spotify:track:24Nt4OalWDICkEKVy81X6k,https://api.spotify.com/v1/tracks/24Nt4OalWDICkEKVy81X6k,https://api.spotify.com/v1/audio-analysis/24Nt4OalWDICkEKVy81X6k,196907,4
Tennessee Fan,Morgan Wallen,1eS6UVVqLhTTpNZAAP1GH7,0.529,0.955,0,-5.584,1,0.0415,0.129,3.84e-06,0.275,0.934,182.17,audio_features,1eS6UVVqLhTTpNZAAP1GH7,spotify:track:1eS6UVVqLhTTpNZAAP1GH7,https://api.spotify.com/v1/tracks/1eS6UVVqLhTTpNZAAP1GH7,https://api.spotify.com/v1/audio-analysis/1eS6UVVqLhTTpNZAAP1GH7,203133,4
Knight Crawler,Trippie Redd & Juice WRLD,3IBySSAIfzt0vVhgGaiZA6,0.681,0.763,0,-3.604,1,0.253,0.034,0.0,0.315,0.439,130.098,audio_features,3IBySSAIfzt0vVhgGaiZA6,spotify:track:3IBySSAIfzt0vVhgGaiZA6,https://api.spotify.com/v1/tracks/3IBySSAIfzt0vVhgGaiZA6,https://api.spotify.com/v1/audio-analysis/3IBySSAIfzt0vVhgGaiZA6,177231,4
California Breeze,Lil Baby,4vACcnMMyDhdGIardAf4XW,0.628,0.845,9,-4.837,1,0.0398,0.0537,0.0,0.378,0.801,115.999,audio_features,4vACcnMMyDhdGIardAf4XW,spotify:track:4vACcnMMyDhdGIardAf4XW,https://api.spotify.com/v1/tracks/4vACcnMMyDhdGIardAf4XW,https://api.spotify.com/v1/audio-analysis/4vACcnMMyDhdGIardAf4XW,201653,4
Next Thing You Know,Jordan Davis,2NJQkZx5VEpKk8moUyK7ph,0.654,0.737,5,-6.281,1,0.0341,0.247,0.0,0.14,0.835,117.025,audio_features,2NJQkZx5VEpKk8moUyK7ph,spotify:track:2NJQkZx5VEpKk8moUyK7ph,https://api.spotify.com/v1/tracks/2NJQkZx5VEpKk8moUyK7ph,https://api.spotify.com/v1/audio-analysis/2NJQkZx5VEpKk8moUyK7ph,199933,4
Hey Mor,Ozuna Featuring Feid,2eor30onI6Gj1AaITJPf7R,0.78,0.823,0,-2.926,1,0.249,0.239,0.0,0.458,0.749,93.018,audio_features,2eor30onI6Gj1AaITJPf7R,spotify:track:2eor30onI6Gj1AaITJPf7R,https://api.spotify.com/v1/tracks/2eor30onI6Gj1AaITJPf7R,https://api.spotify.com/v1/audio-analysis/2eor30onI6Gj1AaITJPf7R,219377,4
Gato de Noche,Nengo Flow & Bad Bunny,0u7LUx0nbjhZSkGxTegLvz,0.564,0.537,4,-7.157,0,0.0526,0.384,0.0,0.246,0.3,165.228,audio_features,0u7LUx0nbjhZSkGxTegLvz,spotify:track:0u7LUx0nbjhZSkGxTegLvz,https://api.spotify.com/v1/tracks/0u7LUx0nbjhZSkGxTegLvz,https://api.spotify.com/v1/audio-analysis/0u7LUx0nbjhZSkGxTegLvz,245191,3
Heart To Heart,Mac DeMarco,7Dr5sMI3LTFikn8gseY1rm,0.901,0.137,8,-16.127,0,0.104,0.664,0.402,0.109,0.643,150.069,audio_features,7Dr5sMI3LTFikn8gseY1rm,spotify:track:7Dr5sMI3LTFikn8gseY1rm,https://api.spotify.com/v1/tracks/7Dr5sMI3LTFikn8gseY1rm,https://api.spotify.com/v1/audio-analysis/7Dr5sMI3LTFikn8gseY1rm,211140,4
Never Gonna Not Dance Again,P!nk,0Uv0h4QmjeR9ew5AjyBR3i,0.675,0.775,5,-4.072,0,0.0738,0.0272,0.0,0.113,0.8,113.872,audio_features,0Uv0h4QmjeR9ew5AjyBR3i,spotify:track:0Uv0h4QmjeR9ew5AjyBR3i,https://api.spotify.com/v1/tracks/0Uv0h4QmjeR9ew5AjyBR3i,https://api.spotify.com/v1/audio-analysis/0Uv0h4QmjeR9ew5AjyBR3i,225789,4
Dancin' In The Country,Tyler Hubbard,0U4iRayct65wsaBMQGiLbg,0.605,0.79,5,-5.576,1,0.0454,0.16,0.0,0.126,0.507,105.997,audio_features,0U4iRayct65wsaBMQGiLbg,spotify:track:0U4iRayct65wsaBMQGiLbg,https://api.spotify.com/v1/tracks/0U4iRayct65wsaBMQGiLbg,https://api.spotify.com/v1/audio-analysis/0U4iRayct65wsaBMQGiLbg,189773,4
